sid,eid,host
3,20,Buck Henry
3,19,Richard Dreyfuss
2,3,Eric Idle
5,20,Buck Henry
5,19,Steve Martin
5,18,Bob Newhart
5,17,Strother Martin
5,16,Burt Reynolds
4,10,Michael Palin
4,20,Buck Henry
4,19,Maureen Stapleton
16,20,George Wendt
16,19,Delta Burke
16,18,Steven Seagal
15,1,Bruce Willis
15,20,Candice Bergen
15,19,Andrew Dice Clay
15,18,Alec Baldwin
15,17,Corbin Bernsen
15,16,Debra Winger
15,15,Rob Lowe
15,14,Fred Savage
15,13,Tom Hanks
15,12,Quincy Jones
15,11,Christopher Walken
15,10,Ed ONeill
15,9,Andie MacDowell
15,8,Robert Wagner
15,7,John Goodman
15,6,Woody Harrelson
15,5,Chris Evert
15,4,James Woods
15,3,Kathleen Turner
15,2,Rick Moranis
16,17,Catherine OHara
16,15,Michael J. Fox
16,14,Alec Baldwin
16,16,Jeremy Irons
16,13,Roseanne Barr
16,12,Kevin Bacon
16,11,Sting
16,10,Joe Mantegna
16,9,Dennis Quaid
16,8,Tom Hanks
16,7,John Goodman
16,6,Dennis Hopper
16,5,Jimmy Smits
16,4,Patrick Swayze
16,3,George Steinbrenner
16,2,Susan Lucci
16,1,Kyle MacLachlan
4,17,Milton Berle
4,18,Michael Palin
4,16,Richard Benjamin
4,15,Margot Kidder
4,14,Gary Busey
4,13,Kate Jackson
4,12,Rick Nelson
4,9,Elliott Gould
4,11,Cicely Tyson
4,8,Eric Idle
4,7,Walter Matthau
4,6,Carrie Fisher
4,5,Buck Henry
4,4,Steve Martin
4,3,Frank Zappa
4,2,Fred Willard
4,1,The Rolling Stones
5,15,Richard Benjamin
5,15,Paula Prentiss
5,14,NULL
5,13,Rodney Dangerfield
5,12,Kirk Douglas
5,11,Elliott Gould
5,10,Chevy Chase
5,9,Teri Garr
5,8,Ted Knight
5,7,Martin Sheen
5,6,Howard Hesseman
5,5,Bea Arthur
5,4,Buck Henry
5,3,Bill Russell
5,2,Eric Idle
5,1,Steve Martin
6,13,NULL
6,12,Bill Murray
6,11,Charlene Tilton
6,10,Deborah Harry
6,9,Sally Kellerman
6,8,Robert Hays
6,7,Karen Black
6,6,Ray Sharkey
6,5,David Carradine
6,4,Jamie Lee Curtis
6,3,Ellen Burstyn
6,2,Malcolm McDowell
6,1,Elliott Gould
1,24,Kris Kristofferson
1,23,Louise Lasser
1,22,Elliott Gould
1,21,Buck Henry
1,20,Dyan Cannon
1,19,Madeline Kahn
1,18,Raquel Welch
1,17,Ron Nessen
1,16,Anthony Perkins
1,15,Jill Clayburgh
1,14,Desi Arnaz
1,13,Peter Boyle
1,12,Dick Cavett
1,11,Peter Cook
1,11,Dudley Moore
1,10,Buck Henry
1,9,Elliott Gould
1,8,Candice Bergen
1,7,Richard Pryor
1,6,Lily Tomlin
1,5,Robert Klein
1,4,Candice Bergen
1,3,Rob Reiner
2,22,Buck Henry
2,21,Shelley Duvall
2,20,Eric Idle
2,19,Elliott Gould
2,18,Julian Bond
1,2,Paul Simon
2,17,Jack Burns
1,1,George Carlin
2,16,Broderick Crawford
2,15,Sissy Spacek
2,14,Steve Martin
2,13,Fran Tarkenton
2,12,Ruth Gordon
2,11,Ralph Nader
2,10,Candice Bergen
2,9,Jodie Foster
2,8,Paul Simon
2,7,Dick Cavett
2,6,Buck Henry
2,5,Steve Martin
2,4,Karen Black
2,1,Lily Tomlin
2,2,Norman Lear
3,18,Steve Martin
3,17,Michael Sarrazin
3,15,Christopher Lee
3,16,Michael Palin
3,14,Jill Clayburgh
3,13,Art Garfunkel
3,12,O.J. Simpson
3,11,Chevy Chase
3,10,Robert Klein
3,9,Steve Martin
3,8,Miskel Spillman
3,7,Mary Kay Place
3,6,Buck Henry
3,5,Ray Charles
3,4,Charles Grodin
3,3,Hugh Hefner
3,2,Madeline Kahn
3,1,Steve Martin
42,15,Octavia Spencer
41,21,Fred Armisen
39,19,Andrew Garfield
39,20,Charlize Theron
39,21,Andy Samberg
39,18,Seth Rogen
39,17,Anna Kendrick
39,16,Louis C.K.
39,15,Lena Dunham
38,21,Ben Affleck
38,20,Kristen Wiig
38,19,Zach Galifianakis
38,18,Vince Vaughn
38,17,Melissa McCarthy
38,16,Justin Timberlake
38,15,Kevin Hart
38,14,Christoph Waltz
38,13,Justin Bieber
38,12,Adam Levine
38,11,Jennifer Lawrence
38,10,Martin Short
38,9,Jamie Foxx
38,8,Jeremy Renner
38,7,Anne Hathaway
38,6,Louis C.K.
38,5,Bruno Mars
38,4,Christina Applegate
38,3,Daniel Craig
38,2,Joseph Gordon-Levitt
38,1,Seth MacFarlane
39,14,Jim Parsons
39,13,Melissa McCarthy
39,10,Jimmy Fallon
39,9,John Goodman
39,11,Drake
39,12,Jonah Hill
39,8,Paul Rudd
39,7,Josh Hutcherson
39,6,Lady Gaga
39,5,Kerry Washington
39,4,Edward Norton
39,3,Bruce Willis
39,2,Miley Cyrus
39,1,Tina Fey
40,21,Louis C.K.
40,20,Reese Witherspoon
40,19,Scarlett Johansson
40,18,Taraji P. Henson
40,17,Michael Keaton
40,16,Dwayne Johnson
40,15,Chris Hemsworth
40,14,Dakota Johnson
40,13,J.K. Simmons
40,12,Blake Shelton
40,11,Kevin Hart
40,10,Amy Adams
40,9,Martin Freeman
40,8,James Franco
40,7,Cameron Diaz
40,6,Woody Harrelson
40,5,Chris Rock
40,4,Jim Carrey
40,3,Bill Hader
40,2,Sarah Silverman
40,1,Chris Pratt
41,19,Brie Larson
41,20,Drake
41,18,Julia Louis-Dreyfus
41,17,Russell Crowe
41,16,Peter Dinklage
41,15,Ariana Grande
41,14,Jonah Hill
41,13,Melissa McCarthy
41,12,Larry David
41,11,Ronda Rousey
41,10,Adam Driver
41,9,Tina Fey
41,9,Amy Poehler
41,8,Chris Hemsworth
41,7,Ryan Gosling
41,6,Matthew McConaughey
41,5,Elizabeth Banks
41,4,Donald Trump
41,2,Amy Schumer
41,3,Tracy Morgan
41,1,Miley Cyrus
42,14,Alec Baldwin
42,13,Kristen Stewart
42,12,Aziz Ansari
42,11,Felicity Jones
42,10,Casey Affleck
42,9,John Cena
42,8,Emma Stone
42,7,Kristen Wiig
42,6,Dave Chappelle
42,5,Benedict Cumberbatch
42,4,Tom Hanks
42,3,Emily Blunt
42,1,Margot Robbie
42,2,Lin-Manuel Miranda
37,22,Mick Jagger
37,21,Will Ferrell
37,20,Eli Manning
37,19,Josh Brolin
37,18,Sofia Vergara
36,21,Ed Helms
36,22,Justin Timberlake
32,20,Zach Braff
32,19,Molly Shannon
32,18,Scarlett Johansson
32,17,Shia LaBeouf
32,16,Peyton Manning
32,15,Julia Louis-Dreyfus
32,14,Rainn Wilson
32,13,Forest Whitaker
32,12,Drew Barrymore
32,11,Jeremy Piven
32,9,Justin Timberlake
32,10,Jake Gyllenhaal
32,8,Annette Bening
32,7,Matthew Fox
32,6,Ludacris
32,5,Alec Baldwin
32,4,Hugh Laurie
32,3,John C. Reilly
32,2,Jaime Pressly
32,1,Dane Cook
34,21,Justin Timberlake
34,22,Will Ferrell
34,19,Seth Rogen
34,20,Zac Efron
34,18,Tracy Morgan
34,17,Dwayne Johnson
34,16,Alec Baldwin
34,15,Bradley Cooper
34,14,Steve Martin
34,13,Rosario Dawson
34,12,Neil Patrick Harris
34,11,Hugh Laurie
34,10,John Malkovich
34,9,Tim McGraw
34,8,Paul Rudd
34,7,Ben Affleck
34,6,Jon Hamm
34,5,Josh Brolin
34,4,Anne Hathaway
34,2,James Franco
34,3,Anna Faris
33,12,Steve Carell
33,11,Shia LaBeouf
33,10,Ashton Kutcher
33,9,Christopher Walken
33,8,Jonah Hill
33,7,Amy Adams
33,6,Ellen Page
33,5,Tina Fey
34,1,Michael Phelps
33,4,Brian Williams
33,3,Jon Bon Jovi
33,2,Seth Rogen
33,1,LeBron James
35,22,Alec Baldwin
35,20,Gabourey Sidibe
35,21,Betty White
35,19,Ryan Phillippe
35,18,Tina Fey
35,17,Jude Law
35,16,Zach Galifianakis
35,15,Jennifer Lopez
35,14,Ashton Kutcher
35,13,Jon Hamm
35,12,Sigourney Weaver
35,11,Charles Barkley
35,10,James Franco
35,9,Taylor Lautner
35,8,Blake Lively
35,7,Joseph Gordon-Levitt
35,6,January Jones
35,5,Taylor Swift
35,4,Gerard Butler
35,3,Drew Barrymore
35,2,Ryan Reynolds
35,1,Megan Fox
36,20,Tina Fey
36,19,Helen Mirren
36,18,Elton John
36,17,Zach Galifianakis
36,16,Miley Cyrus
36,12,Gwyneth Paltrow
36,14,Dana Carvey
36,13,Jesse Eisenberg
36,15,Russell Brand
36,10,Jeff Bridges
36,9,Paul Rudd
36,11,Jim Carrey
36,8,Robert DeNiro
36,7,Anne Hathaway
36,6,Scarlett Johansson
36,5,Jon Hamm
36,4,Emma Stone
36,3,Jane Lynch
36,2,Bryan Cranston
36,1,Amy Poehler
37,17,Jonah Hill
37,16,Lindsay Lohan
37,15,Maya Rudolph
37,14,Zooey Deschanel
37,13,Channing Tatum
37,12,Daniel Radcliffe
37,11,Charles Barkley
37,10,Jimmy Fallon
37,9,Katy Perry
37,8,Steve Buscemi
37,7,Jason Segel
37,5,Charlie Day
37,6,Emma Stone
37,2,Melissa McCarthy
37,3,Ben Stiller
37,1,Alec Baldwin
37,4,Anna Faris
29,20,Mary-Kate Olsen
29,20,Ashley Olsen
31,19,Kevin Spacey
30,20,Lindsay Lohan
28,20,Dan Aykroyd
28,18,Ashton Kutcher
28,19,Adrien Brody
28,17,Ray Romano
28,16,Bernie Mac
28,15,Salma Hayek
28,14,Queen Latifah
27,20,Winona Ryder
27,19,Kirsten Dunst
27,18,Alec Baldwin
27,17,The Rock
27,16,Cameron Diaz
27,14,Jon Stewart
27,12,Britney Spears
27,13,Jonny Moseley
27,15,Ian McKellen
27,11,Jack Black
27,10,Josh Hartnett
27,9,Ellen DeGeneres
27,8,Hugh Jackman
27,7,Derek Jeter
27,6,Billy Bob Thornton
27,5,Gwyneth Paltrow
27,4,John Goodman
27,3,Drew Barrymore
27,2,Seann William Scott
27,1,Reese Witherspoon
28,13,Christopher Walken
28,12,Jennifer Garner
28,11,Matthew McConaughey
28,10,Ray Liotta
28,9,Jeff Gordon
28,8,Al Gore
28,7,Robert DeNiro
28,6,Brittany Murphy
28,4,Eric McCormack
28,5,Nia Vardalos
28,3,Sen. John McCain
28,2,Sarah Michelle Gellar
28,1,Matt Damon
29,19,Snoop Dogg
29,18,Lindsay Lohan
29,17,Janet Jackson
29,16,Donald Trump
29,15,Ben Affleck
29,14,Colin Firth
29,13,Christina Aguilera
29,12,Drew Barrymore
29,10,Jessica Simpson
29,10,Nick Lachey
29,11,Megan Mullally
29,9,Jennifer Aniston
29,8,Elijah Wood
29,7,Al Sharpton
29,6,Alec Baldwin
29,5,Andy Roddick
29,4,Kelly Ripa
29,3,Halle Berry
29,2,Justin Timberlake
29,1,Jack Black
30,19,Will Ferrell
30,18,Johnny Knoxville
30,17,Tom Brady
30,16,Cameron Diaz
30,13,Hilary Swank
30,14,David Spade
30,15,Ashton Kutcher
30,11,Paris Hilton
30,12,Jason Bateman
30,10,Paul Giamatti
30,9,Topher Grace
30,8,Robert DeNiro
30,7,Colin Farrell
30,6,Luke Wilson
30,5,Liam Neeson
30,4,Kate Winslet
30,3,Jude Law
30,2,Queen Latifah
30,1,Ben Affleck
31,18,Julia Louis-Dreyfus
31,17,Tom Hanks
31,16,Lindsay Lohan
31,15,Antonio Banderas
31,14,Matt Dillon
31,13,Natalie Portman
31,12,Steve Martin
31,11,Peter Sarsgaard
31,10,Scarlett Johansson
31,9,Jack Black
31,8,Alec Baldwin
31,7,Dane Cook
31,6,Eva Longoria
31,5,Jason Lee
31,4,Lance Armstrong
31,3,Catherine Zeta-Jones
31,2,Jon Heder
31,1,Steve Carell
25,15,The Rock
24,19,Sarah Michelle Gellar
24,18,Cuba Gooding Jr.
24,17,John Goodman
24,16,Drew Barrymore
24,15,Ray Romano
23,1,Sylvester Stallone
23,20,David Duchovny
23,19,Matthew Broderick
22,20,Jeff Goldblum
22,19,John Goodman
22,18,Pamela Lee
21,20,Jim Carrey
20,20,David Duchovny
19,20,Heather Locklear
18,20,Kevin Kline
18,19,Christina Applegate
18,16,Miranda Richardson
18,17,Jason Alexander
18,18,Kirstie Alley
18,15,John Goodman
18,14,Bill Murray
18,13,Alec Baldwin
18,12,Luke Perry
18,11,Harvey Keitel
18,10,Danny DeVito
18,9,Glenn Close
18,8,Tom Arnold
18,7,Sinbad
18,6,Michael Keaton
18,5,Catherine OHara
18,4,Christopher Walken
18,3,Joe Pesci
19,19,John Goodman
18,1,Nicolas Cage
18,2,Tim Robbins
19,18,Emilio Estevez
19,17,Kelsey Grammer
19,16,Helen Hunt
19,15,Nancy Kerrigan
19,14,Martin Lawrence
19,13,Alec Baldwin
19,13,Kim Basinger
19,12,Patrick Stewart
19,11,Sara Gilbert
19,10,Jason Patric
19,9,Sally Field
19,8,Charlton Heston
19,7,Nicole Kidman
19,6,Rosie ODonnell
19,5,Christian Slater
19,4,John Malkovich
19,3,Jeff Goldblum
19,2,Shannen Doherty
19,1,Charles Barkley
20,19,Bob Saget
20,18,Courteney Cox
20,17,Damon Wayans
20,16,John Goodman
20,15,Paul Reiser
20,14,George Clooney
20,13,Deion Sanders
20,12,Bob Newhart
20,11,David Hyde Pierce
20,10,Jeff Daniels
20,9,George Foreman
20,8,Alec Baldwin
20,7,Roseanne
20,5,Sarah Jessica Parker
20,3,John Travolta
20,2,Marisa Tomei
20,4,Dana Carvey
20,6,John Turturro
20,1,Steve Martin
21,18,Teri Hatcher
21,19,Christine Baranski
21,17,Steve Forbes
21,16,Phil Hartman
21,15,John Goodman
21,14,Elle MacPherson
21,13,Tom Arnold
21,12,Danny Aiello
21,10,Christopher Walken
21,11,Alec Baldwin
21,9,Madeline Kahn
21,8,David Alan Grier
21,6,Laura Leighton
21,7,Anthony Edwards
21,5,Quentin Tarantino
21,4,Gabriel Byrne
21,3,David Schwimmer
21,2,Chevy Chase
21,1,Mariel Hemingway
22,17,Rob Lowe
22,16,Mike Myers
22,15,Sting
22,14,Alec Baldwin
22,13,Chevy Chase
22,12,Neve Campbell
22,11,David Alan Grier
22,10,Kevin Spacey
22,9,Rosie ODonnell
22,8,Martin Short
22,7,Phil Hartman
22,6,Robert Downey Jr.
22,5,Chris Rock
22,4,Dana Carvey
22,3,Bill Pullman
22,2,Lisa Kudrow
22,1,Tom Hanks
23,18,Greg Kinnear
23,17,Steve Buscemi
23,16,Julianne Moore
23,15,Scott Wolf
23,14,Garth Brooks
23,13,Roma Downey
23,12,John Goodman
23,10,Samuel L. Jackson
23,11,Sarah Michelle Gellar
23,9,Helen Hunt
23,8,Nathan Lane
23,7,Rudy Giuliani
23,6,Claire Danes
23,5,Jon Lovitz
23,4,Chris Farley
23,3,Brendan Fraser
23,2,Matthew Perry
24,14,Bill Murray
24,13,Brendan Fraser
24,12,Gwyneth Paltrow
24,11,James Van Der Beek
24,10,Bill Paxton
24,9,Alec Baldwin
24,8,Vince Vaughn
24,7,Jennifer Love Hewitt
24,6,Joan Allen
24,5,David Spade
24,4,Ben Stiller
24,3,Lucy Lawless
24,2,Kelsey Grammer
24,1,Cameron Diaz
25,20,Jackie Chan
25,19,Britney Spears
25,18,John Goodman
25,17,Tobey Maguire
25,16,Christopher Walken
25,14,Joshua Jackson
25,13,Ben Affleck
25,12,Julianna Margulies
25,11,Alan Cumming
25,10,Freddie Prinze Jr.
25,9,Jamie Foxx
25,8,Danny DeVito
25,7,Christina Ricci
25,6,Jennifer Aniston
25,5,Garth Brooks
25,4,Dylan McDermott
25,3,Norm MacDonald
25,2,Heather Graham
25,1,Jerry Seinfeld
26,20,Christopher Walken
26,17,Renee Zellweger
26,19,Lara Flynn Boyle
26,15,Julia Stiles
26,18,Pierce Brosnan
26,16,Alec Baldwin
26,14,Conan OBrien
26,13,Katie Holmes
26,12,Sean Hayes
26,11,Jennifer Lopez
26,10,Mena Suvari
26,9,Charlie Sheen
26,8,Lucy Liu
26,7,Val Kilmer
26,6,Tom Green
26,5,Calista Flockhart
26,4,Charlize Theron
26,3,Dana Carvey
26,1,Rob Lowe
26,2,Kate Hudson
17,18,Jerry Seinfeld
17,20,Woody Harrelson
17,19,Tom Hanks
17,15,John Goodman
17,16,Mary Stuart Masterson
14,20,Steve Martin
14,1,Tom Hanks
17,17,Sharon Stone
13,13,Judge Reinhold
12,20,Dennis Hopper
11,18,Anjelica Huston
11,18,Billy Martin
10,17,Howard Cosell
10,16,Christopher Reeve
9,19,Billy Crystal
9,19,Ed Koch
9,19,Edwin Newman
9,19,Father Guido Sarducci
9,19,Betty Thomas
9,17,George McGovern
9,18,Barry Bostwick
9,15,Billy Crystal
9,16,Michael Douglas
9,14,Edwin Newman
9,13,Jamie Lee Curtis
9,11,Don Rickles
9,10,Michael Palin
9,10,Mary Palin
9,9,Father Guido Sarducci
9,8,Flip Wilson
9,12,Robin Williams
9,7,Tom Smothers
9,7,Dick Smothers
9,6,Jerry Lewis
9,5,Teri Garr
9,4,Betty Thomas
9,3,John Candy
9,2,Danny DeVito
9,2,Rhea Perlman
10,14,Pamela Sue Martin
10,15,Mr. T
10,15,Hulk Hogan
10,11,Roy Scheider
10,10,Kathleen Turner
9,1,Brandon Tartikoff
10,13,Harry Anderson
10,12,Alex Karras
10,9,Eddie Murphy
10,6,Ed Asner
10,7,Ed Begley Jr.
10,5,George Carlin
10,4,Michael McKean
10,3,Jesse Jackson
10,2,Bob Uecker
10,1,NULL
10,8,Ringo Starr
11,17,Jimmy Breslin
11,16,Catherine Oxenberg
11,16,Paul Simon
11,15,Tony Danza
11,13,George Wendt
11,13,Francis Ford Coppola
11,14,Oprah Winfrey
11,12,Griffin Dunne
11,11,Jay Leno
11,10,Jerry Hall
11,9,Ron Reagan
11,8,Dudley Moore
11,7,Harry Dean Stanton
11,6,Teri Garr
11,5,Tom Hanks
11,3,Pee-Wee Herman
11,4,John Lithgow
11,2,Chevy Chase
12,19,Garry Shandling
12,18,Mark Harmon
12,17,John Larroquette
12,16,John Lithgow
12,15,Charlton Heston
11,1,Madonna
12,14,Bill Murray
12,13,Valerie Bertinelli
12,12,Willie Nelson
12,11,Bronson Pinchot
12,10,Paul Shaffer
12,9,Joe Montana
12,9,Walter Payton
12,8,William Shatner
12,7,Steve Guttenberg
12,6,Chevy Chase
12,6,Steve Martin
12,6,Martin Short
12,5,Robin Williams
12,4,Sam Kinison
12,3,Rosanna Arquette
13,12,Tom Hanks
13,10,Carl Weathers
12,1,Sigourney Weaver
13,11,Justine Bateman
12,2,Malcolm-Jamal Warner
13,9,Robin Williams
13,6,Danny DeVito
13,7,Angie Dickinson
13,8,Paul Simon
13,5,Candice Bergen
13,4,Robert Mitchum
13,3,Dabney Coleman
13,2,Sean Penn
13,1,Steve Martin
14,19,Wayne Gretzky
14,18,Geena Davis
14,17,Dolly Parton
14,14,Glenn Close
14,12,Ted Danson
14,15,Mary Tyler Moore
14,16,Mel Gibson
14,13,Leslie Nielsen
14,11,Tony Danza
14,10,John Malkovich
14,9,Melanie Griffith
14,8,Kevin Kline
14,7,Danny DeVito
14,6,John Lithgow
14,5,Demi Moore
14,4,Matthew Modine
14,3,John Larroquette
14,2,Matthew Broderick
17,14,Roseanne Arnold
17,14,Tom Arnold
17,13,Jason Priestley
17,12,Susan Dey
17,11,Chevy Chase
17,10,Rob Morrow
17,9,Steve Martin
17,8,Hammer
17,7,Macaulay Culkin
17,6,Linda Hamilton
17,5,Kiefer Sutherland
17,4,Christian Slater
17,3,Kirstie Alley
17,2,Jeff Daniels
17,1,Michael Jordan
8,1,Chevy Chase
8,6,Robert Blake
8,7,Drew Barrymore
8,5,Michael Keaton
8,8,Tom Smothers
8,8,Dick Smothers
8,4,Howard Hesseman
8,3,Ron Howard
8,2,Louis Gossett Jr.
7,1,NULL
8,14,Beau Bridges
8,14,Jeff Bridges
8,13,Howard Hesseman
8,12,Sid Caesar
8,11,Rick Moranis
8,11,Dave Thomas
8,10,Lily Tomlin
8,9,Eddie Murphy
7,20,Olivia Newton-John
7,19,Danny DeVito
7,18,Robert Culp
7,17,Johnny Cash
7,15,Blythe Danner
7,16,Daniel J. Travanti
7,14,Robert Urich
7,13,Elizabeth Ashley
7,12,Bruce Dern
7,11,James Coburn
7,10,John Madden
7,9,Robert Conrad
7,8,Bill Murray
7,7,Tim Curry
7,6,Bernadette Peters
7,5,Lauren Hutton
7,4,Donald Pleasence
7,3,George Kennedy
7,2,Susan Saint James
8,19,Stevie Wonder
8,20,Ed Koch
8,18,Susan Saint James
8,17,Joan Rivers
8,16,Robert Guillaume
8,15,Bruce Dern
